id_genero,id_artista
sertanejo pop,0JRPF8WIKUtSO2IUYfrcuh
agronejo,1elUiq4X7pxej6FRlrEzjM
arrocha,1elUiq4X7pxej6FRlrEzjM
sertanejo,1elUiq4X7pxej6FRlrEzjM
sertanejo universitario,1elUiq4X7pxej6FRlrEzjM
agronejo,0BHm7qbh3ENxvXzkQAG7MP
arrocha,0BHm7qbh3ENxvXzkQAG7MP
arrochadeira,0BHm7qbh3ENxvXzkQAG7MP
forro,0BHm7qbh3ENxvXzkQAG7MP
agronejo,1tKrZaph4cLsnEdqC5BNEQ
arrocha,1tKrZaph4cLsnEdqC5BNEQ
sertanejo,1tKrZaph4cLsnEdqC5BNEQ
sertanejo pop,1tKrZaph4cLsnEdqC5BNEQ
sertanejo universitario,1tKrZaph4cLsnEdqC5BNEQ
trap brasileiro,7gHzR22tDNSWGS4HkvvPgw
arrocha,37mqXU98U5GmH5ZDtlHM1c
forro,37mqXU98U5GmH5ZDtlHM1c
agronejo,7MiDcPa6UiV3In7lIM71IN
arrocha,7MiDcPa6UiV3In7lIM71IN
sertanejo,7MiDcPa6UiV3In7lIM71IN
sertanejo universitario,7MiDcPa6UiV3In7lIM71IN
funk viral,7u9115faVQY8xNrCXqY0zx
arrocha,3hq7WoPJsrRP0KMSLhUgRz
sertanejo,3hq7WoPJsrRP0KMSLhUgRz
sertanejo universitario,3hq7WoPJsrRP0KMSLhUgRz
sertanejo,2eK9gcJQ6uqVvJL63dnOM3
sertanejo universitario,2eK9gcJQ6uqVvJL63dnOM3
speed up brasileiro,7l8ESevPECrqChwl3Bf7ov
sertanejo,7gZu6kPnY9enEi5FvgTO4F
sertanejo pop,7gZu6kPnY9enEi5FvgTO4F
sertanejo,597XBqZtaiZC7laCNx3nVz
sertanejo pop,597XBqZtaiZC7laCNx3nVz
sertanejo universitario,597XBqZtaiZC7laCNx3nVz
funk carioca,4PzYKhC14sTJNEr0dzoo0d
pop nacional,4PzYKhC14sTJNEr0dzoo0d
agronejo,6Wlvsn3IPHiZwAv02lB5eC
sertanejo,6Wlvsn3IPHiZwAv02lB5eC
sertanejo pop,6Wlvsn3IPHiZwAv02lB5eC
sertanejo universitario,6Wlvsn3IPHiZwAv02lB5eC
agronejo,487N2T9nIPEHrlTZLL3SQs
arrocha,487N2T9nIPEHrlTZLL3SQs
sertanejo,487N2T9nIPEHrlTZLL3SQs
sertanejo universitario,487N2T9nIPEHrlTZLL3SQs
k-pop,1oSPZhvZMIrWW5I41kPkkY
trap brasileiro,2h5Ha0ZiMFmOQD3iYcSXsy
trap funk,2h5Ha0ZiMFmOQD3iYcSXsy
agronejo,6m6e7D2TnV0aYMllFFwMxu
arrocha,6m6e7D2TnV0aYMllFFwMxu
sertanejo,6m6e7D2TnV0aYMllFFwMxu
sertanejo pop,6m6e7D2TnV0aYMllFFwMxu
sertanejo universitario,6m6e7D2TnV0aYMllFFwMxu
forro,1SXhEXzOTF7YeuQX59m7pT
agronejo,2CKOmarVWvWqkNWUatHCex
sertanejo,2CKOmarVWvWqkNWUatHCex
sertanejo pop,2CKOmarVWvWqkNWUatHCex
sertanejo universitario,2CKOmarVWvWqkNWUatHCex
arrocha,0CdnnCbbKD4oIzBmxi2o7r
brega paraense,0CdnnCbbKD4oIzBmxi2o7r
art pop,1HY2Jd0NmPuamShAr6KMms
dance pop,1HY2Jd0NmPuamShAr6KMms
pop,1HY2Jd0NmPuamShAr6KMms
sertanejo,6TYimByryGphZCtwYopH0y
sertanejo pop,6TYimByryGphZCtwYopH0y
sertanejo universitario,6TYimByryGphZCtwYopH0y
arrocha,3qvcCP2J0fWi0m0uQDUf6r
sertanejo,3qvcCP2J0fWi0m0uQDUf6r
sertanejo universitario,3qvcCP2J0fWi0m0uQDUf6r
funk carioca,7rXMvXRnWHaSwnVvPeUUfw
pop lgbtq+ brasileira,7rXMvXRnWHaSwnVvPeUUfw
agronejo,3p7PcrEHaaKLJnPUGOtRlT
arrocha,3p7PcrEHaaKLJnPUGOtRlT
musica tocantinense,3p7PcrEHaaKLJnPUGOtRlT
sertanejo,3p7PcrEHaaKLJnPUGOtRlT
sertanejo universitario,3p7PcrEHaaKLJnPUGOtRlT
art pop,6qqNVTkY8uBg9cP3Jd7DAH
pop,6qqNVTkY8uBg9cP3Jd7DAH
trap brasileiro,3MrDVzg7ZXaYMyQmbDInr7
agronejo,2Z0lRIqr997lIUiPtrpKCr
arrocha,2Z0lRIqr997lIUiPtrpKCr
pop nacional,2Z0lRIqr997lIUiPtrpKCr
sertanejo,2Z0lRIqr997lIUiPtrpKCr
sertanejo universitario,2Z0lRIqr997lIUiPtrpKCr
agronejo,1LIuN7ov1IBQDdLsU83ojl
arrocha,1LIuN7ov1IBQDdLsU83ojl
sertanejo,1LIuN7ov1IBQDdLsU83ojl
sertanejo pop,1LIuN7ov1IBQDdLsU83ojl
sertanejo universitario,1LIuN7ov1IBQDdLsU83ojl
funk viral,6YzSM19LzpLH0nVKKU6Jsy
sertanejo,0NsJZ5PMjqghGDuMzY7CuT
sertanejo pop,0NsJZ5PMjqghGDuMzY7CuT
sertanejo universitario,0NsJZ5PMjqghGDuMzY7CuT
funk carioca,5ZfBThYiIIhL7jHMG8gDB2
pagode,5ZfBThYiIIhL7jHMG8gDB2
pagode novo,5ZfBThYiIIhL7jHMG8gDB2
sertanejo universitario,5ZfBThYiIIhL7jHMG8gDB2
funk carioca,2q9wk5fkeU2C9CgCKdh4AN
funk consciente,2q9wk5fkeU2C9CgCKdh4AN
funk mtg,2q9wk5fkeU2C9CgCKdh4AN
funk paulista,2q9wk5fkeU2C9CgCKdh4AN
agronejo,5kVgcCdPbeUwxBqWxi2Ktl
sertanejo pop,2KZFvVVk9lxD85USaOv76T
funk carioca,7me0S5Z40qVWj3gzyK8aC3
funk paulista,7me0S5Z40qVWj3gzyK8aC3
funk rj,7me0S5Z40qVWj3gzyK8aC3
alternative r&b,5MraexJKZDrQYzS98kNwie
persian electronic,5MraexJKZDrQYzS98kNwie
arrocha,3k68C6mNMJL6OaAdWeW2ZF
sertanejo,3k68C6mNMJL6OaAdWeW2ZF
sertanejo pop,3k68C6mNMJL6OaAdWeW2ZF
sertanejo universitario,3k68C6mNMJL6OaAdWeW2ZF
funk mtg,0n57jUvvtDjkdrnbV7kOvB
r&b brasileiro,5nP8x4uEFjAAmDzwOEc9b8
rap cearense,5nP8x4uEFjAAmDzwOEc9b8
trap brasileiro,5nP8x4uEFjAAmDzwOEc9b8
funk consciente,5s27i7oqhNWIcE4HeoVdq0
funk paulista,5s27i7oqhNWIcE4HeoVdq0
funk bh,0kj68SnX4WCXwveyBbRX8p
funk mtg,0kj68SnX4WCXwveyBbRX8p
arrocha,44F6hbmusaHQR96WFbo6Lv
brega romantico,44F6hbmusaHQR96WFbo6Lv
forro de favela,44F6hbmusaHQR96WFbo6Lv
funk bh,6mKwmTMzDrye9elc8JWiw3
funk mtg,6mKwmTMzDrye9elc8JWiw3
funk consciente,4PLdCloYxu2bMKfuuB9lI5
funk paulista,4PLdCloYxu2bMKfuuB9lI5
trap brasileiro,6TPJK8tv3AKKSsw0lENTQk
funk carioca,3vcNcwMasVwgv5jPfdUwaE
funk mtg,3vcNcwMasVwgv5jPfdUwaE
brazilian gospel,0f59qYByNYzspwAr7huTSB
funk paulista,75i9GaW2MJUgt4BkdUnuUY
modern alternative rock,77SW9BnxLY8rJ0RciFqkHh
modern rock,77SW9BnxLY8rJ0RciFqkHh
pop,77SW9BnxLY8rJ0RciFqkHh
frauenrap,0JBdTCGs111JKKYfLqOEBa
german hip hop,0JBdTCGs111JKKYfLqOEBa
german pop,0JBdTCGs111JKKYfLqOEBa
german hip hop,0Dvx6p8JDyzeOPGmaCIH1L
desi hip hop,4nVa6XlBFlIkF6msW57PHp
indian underground rap,4nVa6XlBFlIkF6msW57PHp
malayalam hip hop,4nVa6XlBFlIkF6msW57PHp
melodic house,2loEsOijJ6XiGzWYFXMIRk
permanent wave,4gzpq5DPGxSnKTe4SA8HAU
pop,4gzpq5DPGxSnKTe4SA8HAU
modern country pop,3y2cIKLjiOlp1Np37WiUdH
pop rap,3y2cIKLjiOlp1Np37WiUdH
singer-songwriter pop,3bO19AOone0ubCsfDXDtYt
belgian edm,7f5Zgnp2spUuuzKplmRkt7
edm,7f5Zgnp2spUuuzKplmRkt7
pop dance,7f5Zgnp2spUuuzKplmRkt7
tropical house,7f5Zgnp2spUuuzKplmRkt7
singer-songwriter pop,22wbnEMDvgVIAGdFeek6ET
irish singer-songwriter,2FXC3k01G6Gw61bmprjgqS
modern rock,2FXC3k01G6Gw61bmprjgqS
pop,2FXC3k01G6Gw61bmprjgqS
pov: indie,2FXC3k01G6Gw61bmprjgqS
dance pop,7o95ZoZt5ZYn31e9z1Hc0a
pop,7o95ZoZt5ZYn31e9z1Hc0a
post-teen pop,7o95ZoZt5ZYn31e9z1Hc0a
pop,74KM79TiuVKeVCqs8QtB0B
detroit hip hop,7dGJo4pcD2V6oG8kP0tJRR
hip hop,7dGJo4pcD2V6oG8kP0tJRR
rap,7dGJo4pcD2V6oG8kP0tJRR
singer-songwriter pop,11p2E654TTU8e0nZWBR4AL
german hip hop,0t84CBqmvihsUVFme33TLd
big room,1Cs0zKBU1kc0i8ypK3B9ai
dance pop,1Cs0zKBU1kc0i8ypK3B9ai
edm,1Cs0zKBU1kc0i8ypK3B9ai
pop,1Cs0zKBU1kc0i8ypK3B9ai
pop dance,1Cs0zKBU1kc0i8ypK3B9ai
german pop,2rEVnwCPBeGkWMv425KoG1
art pop,25uiPmTg16RbhZWAqwLBy5
candy pop,25uiPmTg16RbhZWAqwLBy5
metropopolis,25uiPmTg16RbhZWAqwLBy5
pop,25uiPmTg16RbhZWAqwLBy5
uk pop,25uiPmTg16RbhZWAqwLBy5
pop,69GGBxA162lTqCwzJG5jLp
reggaeton chileno,7CvTknweLr9feJtRGrpDBy
boy band,6Ff53KvcvAj5U7Z1vojB5o
dance pop,6Ff53KvcvAj5U7Z1vojB5o
pop,6Ff53KvcvAj5U7Z1vojB5o
german alternative rap,34LetYSjEuG2fBb4Z8PwPg
german drill,34LetYSjEuG2fBb4Z8PwPg
german hip hop,34LetYSjEuG2fBb4Z8PwPg
german hip hop,1SnSPHBs8l5iAvoWF0aO05
german r&b,1SnSPHBs8l5iAvoWF0aO05
german trap,1SnSPHBs8l5iAvoWF0aO05
indie pop,7GlBOeep6PqTfFi59PTUUN
pov: indie,7GlBOeep6PqTfFi59PTUUN
new romantic,0xliTEbFfy5HQHvsTknTkX
new wave pop,0xliTEbFfy5HQHvsTknTkX
synthpop,0xliTEbFfy5HQHvsTknTkX
irish hip hop,0jPHHnU8GUWEF7rwPE9osY
german drill,3CJKkU0XuElRT1z8rEtIYg
german hip hop,3CJKkU0XuElRT1z8rEtIYg
german hip hop,6CP5wWvO8oIxedESJNCN4H
indie folk,6ltzsmQQbmdoHHbLZ4ZN25
