country,danceability,energy,valence,tempo
BR,0.872,0.696,0.62,0.477
BR,0.79,0.849,0.8,0.371
BR,0.561,0.824,0.696,0.615
BR,0.891,0.436,0.962,0.456
BR,0.596,0.806,0.369,0.541
BR,0.608,0.821,0.513,0.541
BR,0.778,0.687,0.839,0.365
BR,0.657,0.839,0.793,0.327
BR,0.875,0.782,0.836,0.488
BR,0.723,0.751,0.68,0.36
BR,0.447,0.428,0.53,0.643
BR,0.569,0.724,0.373,0.454
BR,0.654,0.828,0.644,0.36
BR,0.645,0.33,0.62,0.197
BR,0.675,0.893,0.607,0.307
BR,0.754,0.794,0.553,0.285
BR,0.665,0.717,0.638,0.434
BR,0.69,0.771,0.454,0.363
BR,0.567,0.835,0.639,0.658
BR,0.784,0.653,0.611,0.451
BR,0.492,0.427,0.443,0.17
BR,0.755,0.844,0.769,0.514
BR,0.66,0.756,0.838,0.36
BR,0.762,0.41,0.531,0.349
BR,0.49,0.887,0.511,0.512
BR,0.736,0.77,0.933,0.67
BR,0.653,0.645,0.419,0.248
BR,0.614,0.842,0.708,0.167
BR,0.521,0.592,0.535,0.584
BR,0.598,0.849,0.538,0.446
BR,0.579,0.689,0.603,0.222
BR,0.507,0.68,0.679,0.456
BR,0.455,0.54,0.542,0.604
BR,0.572,0.575,0.685,0.253
BR,0.699,0.794,0.594,0.301
BR,0.747,0.8,0.718,0.328
BR,0.747,0.507,0.438,0.301
BR,0.687,0.746,0.727,0.317
BR,0.664,0.748,0.521,0.371
BR,0.67,0.288,0.397,0.191
BR,0.792,0.847,0.647,0.434
BR,0.697,0.394,0.32,0.165
BR,0.633,0.815,0.642,0.261
BR,0.791,0.527,0.601,0.435
BR,0.767,0.743,0.764,0.333
BR,0.883,0.194,0.9,0.235
BR,0.421,0.813,0.559,0.703
BR,0.625,0.621,0.336,0.477
BR,0.637,0.832,0.92,0.537
BR,0.614,0.774,0.58,0.339
BR,0.624,0.734,0.499,0.488
BR,0.83,0.464,0.541,0.403
BR,0.533,0.825,0.63,0.27
BR,0.662,0.669,0.636,0.312
BR,0.625,0.728,0.54,0.525
BR,0.909,0.546,0.927,0.435
BR,0.741,0.754,0.717,0.419
BR,0.806,0.616,0.96,0.398
BR,0.637,0.805,0.572,0.223
BR,0.489,0.791,0.682,0.5
BR,0.406,0.578,0.23,0.484
BR,0.66,0.388,0.311,0.221
BR,0.85,0.291,0.725,0.203
BR,0.53,0.855,0.38,0.595
BR,0.522,0.799,0.218,0.143
BR,0.648,0.674,0.643,0.381
BR,0.631,0.614,0.612,0.189
BR,0.359,0.76,0.496,0.564
BR,0.711,0.59,0.702,0.202
BR,0.646,0.871,0.624,0.168
BR,0.856,0.661,0.672,0.435
BR,0.411,0.876,0.774,0.677
BR,0.781,0.741,0.778,0.467
BR,0.576,0.685,0.227,0.406
BR,0.795,0.547,0.861,0.483
BR,0.709,0.915,0.926,0.616
BR,0.905,0.652,0.73,0.461
BR,0.887,0.574,0.847,0.435
BR,0.817,0.283,0.485,0.222
BR,0.752,0.518,0.577,0.52
BR,0.538,0.91,0.822,0.441
BR,0.499,0.838,0.442,0.369
BR,0.722,0.411,0.503,0.661
BR,0.924,0.42,0.744,0.435
BR,0.768,0.52,0.838,0.167
BR,0.66,0.864,0.963,0.51
BR,0.767,0.54,0.544,0.403
BR,0.646,0.627,0.657,0.397
BR,0.605,0.386,0.55,0.5
BR,0.6,0.862,0.821,0.175
BR,0.654,0.452,0.414,0.413
BR,0.889,0.677,0.479,0.382
BR,0.846,0.789,0.605,0.209
BR,0.679,0.659,0.698,0.318
BR,0.492,0.821,0.647,0.562
BR,0.855,0.685,0.722,0.462
BR,0.422,0.609,0.31,0.344
BR,0.739,0.586,0.578,0.498
BR,0.612,0.807,0.398,0.403
BR,0.625,0.507,0.72,0.61
AU,0.747,0.507,0.438,0.301
AU,0.722,0.706,0.599,0.173
AU,0.644,0.874,0.753,0.424
AU,0.7,0.582,0.785,0.364
AU,0.701,0.76,0.69,0.296
AU,0.669,0.586,0.579,0.312
AU,0.472,0.471,0.219,0.301
AU,0.776,0.667,0.618,0.435
AU,0.464,0.745,0.262,0.702
AU,0.852,0.697,0.919,0.478
AU,0.756,0.672,0.739,0.354
AU,0.741,0.62,0.934,0.365
AU,0.521,0.592,0.535,0.584
AU,0.561,0.604,0.242,0.595
AU,0.898,0.472,0.214,0.28
AU,0.664,0.5,0.801,0.37
AU,0.635,0.601,0.332,0.403
AU,0.527,0.551,0.443,0.531
AU,0.429,0.453,0.155,0.155
AU,0.804,0.957,0.962,0.414
AU,0.432,0.583,0.544,0.71
AU,0.482,0.757,0.12,0.502
AU,0.742,0.757,0.957,0.488
AU,0.525,0.488,0.253,0.194
AU,0.369,0.192,0.148,0.676
AU,0.483,0.731,0.484,0.283
AU,0.645,0.634,0.352,0.595
AU,0.552,0.702,0.564,0.648
AU,0.936,0.878,0.902,0.419
AU,0.893,0.4,0.945,0.408
AU,0.61,0.926,0.861,0.663
AU,0.504,0.386,0.281,0.766
AU,0.611,0.911,0.495,0.381
AU,0.731,0.734,0.797,0.28
AU,0.689,0.454,0.912,0.595
AU,0.646,0.668,0.64,0.226
AU,0.857,0.62,0.796,0.382
AU,0.555,0.216,0.504,0.163
AU,0.645,0.646,0.295,0.359
AU,0.492,0.673,0.488,0.829
AU,0.777,0.934,0.637,0.21
