country,danceability,energy,valence,tempo
BR,0.79,0.849,0.8,0.3
BR,0.561,0.824,0.696,0.6
BR,0.608,0.821,0.513,0.5
BR,0.778,0.687,0.839,0.3
BR,0.723,0.751,0.68,0.3
BR,0.569,0.724,0.373,0.4
BR,0.654,0.828,0.644,0.3
BR,0.645,0.33,0.62,0.1
BR,0.754,0.794,0.553,0.2
BR,0.784,0.653,0.611,0.4
BR,0.736,0.77,0.933,0.6
BR,0.653,0.645,0.419,0.2
BR,0.598,0.849,0.538,0.4
BR,0.507,0.68,0.679,0.4
BR,0.455,0.54,0.542,0.6
BR,0.699,0.794,0.594,0.3
BR,0.747,0.8,0.718,0.3
BR,0.687,0.746,0.727,0.3
BR,0.664,0.748,0.521,0.3
BR,0.67,0.288,0.397,0.1
BR,0.697,0.394,0.32,0.1
BR,0.633,0.815,0.642,0.2
BR,0.883,0.194,0.9,0.2
BR,0.421,0.813,0.559,0.7
BR,0.625,0.621,0.336,0.4
BR,0.637,0.832,0.92,0.5
BR,0.83,0.464,0.541,0.4
BR,0.533,0.825,0.63,0.2
BR,0.806,0.616,0.96,0.3
BR,0.637,0.805,0.572,0.2
BR,0.489,0.791,0.682,0.5
BR,0.648,0.674,0.643,0.3
BR,0.359,0.76,0.496,0.5
BR,0.646,0.871,0.624,0.1
BR,0.411,0.876,0.774,0.6
BR,0.781,0.741,0.778,0.4
BR,0.905,0.652,0.73,0.4
BR,0.752,0.518,0.577,0.5
BR,0.538,0.91,0.822,0.4
BR,0.499,0.838,0.442,0.3
BR,0.722,0.411,0.503,0.6
BR,0.768,0.52,0.838,0.1
BR,0.6,0.862,0.821,0.1
BR,0.654,0.452,0.414,0.4
BR,0.889,0.677,0.479,0.3
BR,0.846,0.789,0.605,0.2
BR,0.679,0.659,0.698,0.3
BR,0.855,0.685,0.722,0.4
BR,0.739,0.586,0.578,0.4
BR,0.625,0.507,0.72,0.6
AU,0.747,0.507,0.438,0.3
AU,0.644,0.874,0.753,0.4
AU,0.7,0.582,0.785,0.3
AU,0.701,0.76,0.69,0.2
AU,0.464,0.745,0.262,0.7
AU,0.852,0.697,0.919,0.4
AU,0.741,0.62,0.934,0.3
AU,0.898,0.472,0.214,0.2
AU,0.664,0.5,0.801,0.3
AU,0.527,0.551,0.443,0.5
AU,0.804,0.957,0.962,0.4
AU,0.369,0.192,0.148,0.6
AU,0.893,0.4,0.945,0.4
AU,0.504,0.386,0.281,0.7
AU,0.611,0.911,0.495,0.3
